nom;id;url;daily_price;weekly_price;description;img_link;tag_list;img_id;title_nl;text_nl
CHARIOT TÉLESCOPIQUE 14 M 4 TONNES;13510.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-14-m-4-tonnes;p.s.d.;p.s.d.;Avec système d'indication de la charge contre la surchargeTraction sur 4 roues pour une utilisation sur terrain lourd et accidentéLivré standard plateau à fourches inclusStabilisateursDisponible avec moteur TIER4i / Stage 3BDiagramme de chargement affiché;https://www.boels.be/assets/modules/products/chariot_telescopique_14_m_4_tonnes_big_1.jpg; + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_chariot_telescopique_14_m_4_tonnes_big_1.jpg;VERREIKER 14 M 4 TON;Voorzien van load indicatie systeem tegen overbelasting4-wielaandrijving voor gebruik op ruw en oneffen terreinStandaard geleverd inclusief lepelbordAfstempelingVerkrijgbaar met TIER4i / Stage 3B motorLaaddiagram weergegeven
CHARIOT TÉLESCOPIQUE 14 M 4 TONNES;13776.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-14-m-4-tonnes-1;p.s.d.;p.s.d.;;;;;VERREIKER 14 M 4 TON;
CHARIOT TÉLESCOPIQUE 17 M 4 TONNES;13522.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-17-m-4-tonnes;p.s.d.;p.s.d.;Avec système d'indication de la charge contre la surchargeTraction sur 4 roues pour une utilisation sur terrain lourd et accidentéLivré standard plateau à fourches inclusStabilisateursDisponible avec moteur TIER4i / 3B;https://www.boels.be/assets/modules/products/chariot_telescopique_17_m_4_tonnes_big_1.jpg; + Transport en véhicule utilitaire + Telematics;https@__www.boels.be_assets_modules_products_chariot_telescopique_17_m_4_tonnes_big_1.jpg;VERREIKER 17 M 4 TON;Voorzien van load indicatie systeem tegen overbelasting4-wielaandrijving voor gebruik op ruw en oneffen terreinStandaard geleverd inclusief lepelbordAfstempelingVerkrijgbaar met TIER4i / 3B motor
CHARIOT TÉLESCOPIQUE 18 M 4 TONNES;13769.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-18-m-4-tonnes;p.s.d.;p.s.d.;Avec système d'indication de la charge contre la surchargeTraction sur 4 roues pour une utilisation sur terrain lourd et accidentéLivré standard plateau à fourches inclusStabilisateursAvec moteur TIER4f/ Stage 4;https://www.boels.be/assets/modules/products/chariot_telescopique_18_m_4_tonnes_big_1.jpg; + Transport en véhicule utilitaire + Telematics;https@__www.boels.be_assets_modules_products_chariot_telescopique_18_m_4_tonnes_big_1.jpg;VERREIKER 18 M 4 TON;Voorzien van load indicatie systeem tegen overbelasting4-wielaandrijving voor gebruik op ruw en oneffen terreinStandaard geleverd inclusief lepelbordAfstempelingMet TIER4f / Stage 4 motor
CHARIOT TÉLESCOPIQUE 18 M 4 TONNES;13777.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-18-m-4-tonnes-1;p.s.d.;p.s.d.;;;;;VERREIKER 18 M 4 TON;
CHARIOTS TÉLESCOPIQUES 12 T;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariots-telescopiques-12-t;p.s.d.;p.s.d.;Avec système d'indication de la charge contre la surchargeTraction sur 4 roues pour une utilisation sur terrain lourd et accidentéLivré standard plateau à fourches inclusONE CALL 070-22 28 18 (€ 0,15 p/min.);https://www.boels.be/assets/modules/products/chariots_telescopiques_12_t_big_1.jpg;;https@__www.boels.be_assets_modules_products_chariots_telescopiques_12_t_big_1.jpg;;
CHARIOT TÉLESCOPIQUE HIGH CAPACITY 22,5 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-high-capacity-225-tonnes;p.s.d.;p.s.d.;Avec système d'indication de la charge contre la surchargeTraction sur 4 roues pour une utilisation sur terrain lourd et accidentéLivré standard plateau à fourches inclusONE CALL 070-22 28 18 (€ 0,15 p/min.);https://www.boels.be/assets/modules/products/chariot_telescopique_high_capacity_225_tonnes_big_1.jpg;;https@__www.boels.be_assets_modules_products_chariot_telescopique_high_capacity_225_tonnes_big_1.jpg;;
CHARIOT TÉLESCOPIQUE ROTATIF, 26 M, 4 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-rotatif-26-m-4-tonnes;p.s.d.;p.s.d.;ONE CALL 070-22 28 18 (€ 0,15 p/min.);https://www.boels.be/assets/modules/products/chariot_telescopique_rotatif_26_m_4_tonnes_big_1.jpg; + Chaussures de protection obligatoires + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_chariot_telescopique_rotatif_26_m_4_tonnes_big_1.jpg;;
CHARIOT TÉLESCOPIQUE ROTATIF, 30 M, 4 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-rotatif-30-m-4-tonnes;p.s.d.;p.s.d.;ONE CALL 070-22 28 18 (€ 0,15 p/min.);https://www.boels.be/assets/modules/products/chariot_telescopique_rotatif_30_m_4_tonnes_big_1.jpg; + Chaussures de protection obligatoires + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_chariot_telescopique_rotatif_30_m_4_tonnes_big_1.jpg;;
TÉLÉCOMMANDE POUR CHARIOT TÉLESCOPIQUE ROTATIF;13860.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/telecommande-pour-chariot-telescopique-rotatif;p.s.d.;p.s.d.;Un chariot télescopique rotatif sûr et efficace, télécommandé à l’aide d'une télécommande radiographique. Le machiniste peut travailler sur place.;https://www.boels.be/assets/modules/products/telecommande_pour_chariot_telescopique_rotatif_big_1.jpg; + Chaussures de protection obligatoires + Casque de protection obligatoire;https@__www.boels.be_assets_modules_products_telecommande_pour_chariot_telescopique_rotatif_big_1.jpg;AFSTANDBEDIENING, TBV ROTERENDE VERREIKER;Veilig en efficient de roterende verreiker op afstand bedienen middels deze radiografische afstandsbediening. De machinist kan meewerken op locatie.
PLATEFORME, 1 TONNE, POUR CHARIOT TÉLESCOPIQUE ROTATIF;13565.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/plateforme-1-tonne-pour-chariot-telescopique-rotatif;p.s.d.;p.s.d.;Sécurité maximale au levage de personnes. Nacelle pour chariot télescopique.Pliable de 225 à 400 cm.Rotatif à 180°Autorisé pour 3 personnesCapteur de surcharge;https://www.boels.be/assets/modules/products/plateforme_1_tonne_pour_chariot_telescopique_rotatif_big_1.jpg; + Gants de protection obligatoires + Chaussures de protection obligatoires + Casque de protection obligatoire + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_plateforme_1_tonne_pour_chariot_telescopique_rotatif_big_1.jpg;PLATFORM, 1 TON, TBV ROTERENDE VERREIKER;Maximale veiligheid bij het werken op hoogte. Manbak voor verreiker.Uitklapbaar van 225 naar 400 cm180° roteerbaarToegelaten voor 3 personenOverbelastingssensor
TREUIL, 5 TONNES, HYDRAULIQUE, POUR CHARIOTS TÉLESCOPIQUES ROTATIFS;13772.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/treuil-5-tonnes-hydraulique-pour-chariots-telescopiques-rotatifs;p.s.d.;p.s.d.;Double treuil à câble pour une meilleure tractionCapteur fin de course supérieur et inférieurCrochet à goupille auto-verrouillant homologué;https://www.boels.be/assets/modules/products/treuil_5_tonnes_hydraulique_pour_chariots_telescopiques_rotatifs_big_1.jpg; + Gants de protection obligatoires + Chaussures de protection obligatoires + Casque de protection obligatoire + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_treuil_5_tonnes_hydraulique_pour_chariots_telescopiques_rotatifs_big_1.jpg;KOPLIER, 5 TON, HYDRAULISCH, TBV ROTERENDE VERREIKER;Dubbele kabellier voor een betere trekkrachtSensor voor einde gang bovenaan en onderaanGehomolgeerde zelfvergrendelende draaihaak
BRAS DE LEVAGE 2,5 MÈTRES, TREUIL 2 TONNES, POUR CHARIOT TÉLESCOPIQUE ROTATIF;13773.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/bras-de-levage-25-metres-treuil-2-tonnes-pour-chariot-telescopique-rotatif;p.s.d.;p.s.d.;Bras extensible avec treuil qui transforme la chariot télescopique en grue. Convient pour le transport et l'installation de poutres et de charpentes.Augmente la portée du chariot télescopiqueCrochet à goupille auto-verrouillant homologué;https://www.boels.be/assets/modules/products/bras_de_levage_25_metres_treuil_2_tonnes_pour_chariot_telescopique_rotatif_big_1.jpg; + Gants de protection obligatoires + Chaussures de protection obligatoires + Casque de protection obligatoire + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_bras_de_levage_25_metres_treuil_2_tonnes_pour_chariot_telescopique_rotatif_big_1.jpg;KRAANARM 2,5 METER, LIER 2 TON, TBV ROTERENDE VERREIKER;Uitschuifbare arm met lier die de verreiker transfereert in een kraan. Geschikt voor het transport en opstellen van balken en dakspanten.Verhoogt de reikwijdte van de verreikerGehomolgeerde zelfvergrendelende draaihaak
BRAS DE LEVAGE 6/2 TONNES;13774.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/bras-de-levage-62-tonnes;€ 58,08;€ 145,20;2 positions de crochetCrochet à goupille auto-verrouillant homologué;https://www.boels.be/assets/modules/products/bras_de_levage_62_tonnes_big_1.jpg; + Gants de protection obligatoires + Chaussures de protection obligatoires + Casque de protection obligatoire + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_bras_de_levage_62_tonnes_big_1.jpg;KRAANARM 6 / 2 TON;2 haakpositiesGehomologeerde zelfvergrendelende draaihaak
CROCHETS DE LEVAGE;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/crochets-de-levage;p.s.d.;p.s.d.;[13547] montage sur les fourches d'un chariot élévateur ou d'un chariot télescopique;https://www.boels.be/assets/modules/products/crochets_de_levage_big_1.jpg; + Gants de protection obligatoires + Chaussures de protection obligatoires + Casque de protection obligatoire + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_crochets_de_levage_big_1.jpg;;
GODETS DE TERRASSEMENT POUR CHARIOTS TÉLESCOPIQUES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/godets-de-terrassement-pour-chariots-telescopiques;€ 20,57;€ 51,43;Utilisable à différentes fins comme le transport de terre, de gravier, de plantes, etc. Parfait pour le traitement de céréales, de terre, de gravier.Convient pour matériaux avec une densité < 2.100 kg / m³;https://www.boels.be/assets/modules/products/godets_de_terrassement_pour_chariots_telescopiques_big_1.jpg; + Gants de protection obligatoires + Chaussures de protection obligatoires + Casque de protection obligatoire + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_godets_de_terrassement_pour_chariots_telescopiques_big_1.jpg;;
FOUCHES À PALETTES POUR CHARIOT TÉLESCOPIQUE ROTATIF;13747.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/fouches-a-palettes-pour-chariot-telescopique-rotatif;€ 31,46;€ 78,65;Levage et déplacement des grandes palettes et de 2 europalettes en une manipulation. Levage et déplacement des grandes palettes et de 2 europalettes en une manipulation.Comprend tablier à fourches et fourches;https://www.boels.be/assets/modules/products/fouches_a_palettes_pour_chariot_telescopique_rotatif_big_1.jpg; + Gants de protection obligatoires + Chaussures de protection obligatoires + Casque de protection obligatoire + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_fouches_a_palettes_pour_chariot_telescopique_rotatif_big_1.jpg;PALLETVORKEN 1.800 MM, TBV ROTERENDE VERREIKER;Tillen en verplaatsen van overmaatse pallets en van 2 euro pallets in handeling. Tillen en verplaatsen van overmaatse pallets en van 2 euro pallets in 1 handeling.Bestaat uit vorkenbord en vorken
CHARIOT ÉLÉVATEUR DIESEL 2,5 TONNES;12035.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-25-tonnes;p.s.d.;p.s.d.;Bourreau de travail universel pour toute tâche courante. Modèle avec moteur diesel, convient pour toutes sortes de chargements jusqu'à 2,5 tonnes. Le mât triplex est rétractable pour que les espaces bas soient aussi accessibles. Ainsi vous pouvez facilement rouler dans des conteneurs pour charger et décharger.Avec mât en triplexLargement assez de hauteur de levage libre pour dans les conteneurs;https://www.boels.be/assets/modules/products/chariot_elevateur_diesel_25_tonnes_big_1.jpg; + Chaussures de protection obligatoires + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_chariot_elevateur_diesel_25_tonnes_big_1.jpg;DIESELHEFTRUCK 2,5 TON;Universeel werkpaard voor elke gangbare klus. Uitgevoerd met een dieselmotor, geschikt voor alle soorten ladingen tot 2,5 ton. De triplex mast is inschuifbaar, zodat ook lage ruimtes toegankelijk zijn. Zo kunt u probleemloos in containers rijden om te laden en lossen.
CHARIOT ÉLÉVATEUR 2,5 TONNES AVEC CABINE;13831.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-25-tonnes-avec-cabine;p.s.d.;p.s.d.;Avec cabine et chauffage;https://www.boels.be/assets/modules/products/chariot_elevateur_25_tonnes_avec_cabine_big_1.jpg;;https@__www.boels.be_assets_modules_products_chariot_elevateur_25_tonnes_avec_cabine_big_1.jpg;DIESELHEFTRUCK 2,5 TON MET CABINE;Met cabine en verwarming
CHARIOT ÉLÉVATEUR DIESEL 3,0 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-30-tonnes;p.s.d.;p.s.d.;Bourreau de travail universel pour toute tâche courante. Modèle avec moteur diesel, convient pour toutes sortes de chargements jusqu'à 3 tonnes.ONE CALL 070-22 28 18 (€ 0,15 p/min.);https://www.boels.be/assets/modules/products/chariot_elevateur_diesel_30_tonnes_big_1.jpg; + Chaussures de protection obligatoires + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_chariot_elevateur_diesel_30_tonnes_big_1.jpg;;
CHARIOT ÉLÉVATEUR DIESEL 5 TONNES;13504.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-5-tonnes;p.s.d.;p.s.d.;Mât free visibilityAvec pneus gonflables;https://www.boels.be/assets/modules/products/chariot_elevateur_diesel_5_tonnes_big_1.jpg; + Chaussures de protection obligatoires + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_chariot_elevateur_diesel_5_tonnes_big_1.jpg;DIESELHEFTRUCK 5 TON;Free visibility mastVoorzien van luchtbanden
CHARIOT ÉLÉVATEUR DIESEL 8 TONNES;12045.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-8-tonnes;p.s.d.;p.s.d.;Avec pneus gonflablesPosition assise confortable;https://www.boels.be/assets/modules/products/chariot_elevateur_diesel_8_tonnes_big_1.jpg; + Chaussures de protection obligatoires + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_chariot_elevateur_diesel_8_tonnes_big_1.jpg;DIESELHEFTRUCK 8 TON;Voorzien van luchtbandenComfortabele zitpositie
CHARIOT ÉLÉVATEUR DIESEL 16 TONNES;13825.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-16-tonnes;p.s.d.;p.s.d.;Un poids lourd polyvalent, garantissant un poste de travail confortable pour le chauffeur. Convient pour les charges lourdes et encombrantes, qui peuvent passer et être positionnées grâce au sideshift intégral et au réglage des fourches.Avec 3e et 4e vanne et groupes de flexiblesDéplacement latéral intégral et réglage de la fourcheLieu de travail ergonomique pour le chauffeurAvec cabine chauffée;https://www.boels.be/assets/modules/products/chariot_elevateur_diesel_16_tonnes_big_1.jpg; + Chaussures de protection obligatoires + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_chariot_elevateur_diesel_16_tonnes_big_1.jpg;DIESELHEFTRUCK 16 TON;Allround krachtpatser die een comfortabele werkplek verzorgt voor de chauffeur. Geschikt voor zware en grote lasten welke zich door de integrale sideshift en vorkenversteller eenvoudig laten pakken en positioneren.Met 3e en 4e ventiel en slangengroepenIntegrale sideshift en vorkverstellerErgonomische werkplek voor de chauffeurVoorzien van verwarmde cabine
CHARIOT ÉLÉVATEUR DIESEL 12 TONNES;13819.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-12-tonnes;p.s.d.;p.s.d.;Chariots élévateurs heavy duty, qui excellent dans les conditions les plus rudes, et qui constituent une base solide pour traiter des chargement à pleine capacité.Déplacement latéral intégral et réglage de la fourcheLieu de travail ergonomique pour le chauffeurBonne visibilité sur la chargeAvec cabine chauffée;https://www.boels.be/assets/modules/products/chariot_elevateur_diesel_12_tonnes_big_1.jpg; + Chaussures de protection obligatoires + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_chariot_elevateur_diesel_12_tonnes_big_1.jpg;DIESELHEFTRUCK 12 TON;Heavy duty heftruck die onder de moeilijkste omstandigheden excelleert en die een stabiele basis vormt voor het aannemen en verwerken van lading op volle capaciteit.Integrale sideshift en vorkverstellerErgonomische werkplek voor de chauffeurGoed zicht op de ladingVoorzien van verwarmde cabine
CHARIOT ÉLÉVATEUR DIESEL 33 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-33-tonnes;p.s.d.;p.s.d.;Déplacement latéral intégral et réglage de la fourcheAvec 3e et 4e vanne et groupes de flexiblesCabine complèteONE CALL 070-22 28 18 (€ 0,15 p/min.);https://www.boels.be/assets/modules/products/chariot_elevateur_diesel_33_tonnes_big_1.jpg; + Chaussures de protection obligatoires + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_chariot_elevateur_diesel_33_tonnes_big_1.jpg;;
CHARIOT ÉLÉVATEUR ÉLECTRIQUE 1,6 TONNES;12036.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-batterie/chariot-elevateur-electrique-16-tonnes;p.s.d.;p.s.d.;Grâce à ses faibles dimensions idéal pour diverses applications comme dans des usines, entrepôts ou magasins. Grâce à sa configuration à 3 roues ce chariot élévateur est extrêmement maniable. Idéal pour les travaux de chargement et de déchargement dans les petits espaces. Avec ces gerbeurs, vous avez une visibilité maximale des pointes de fourche.équipé(e) d'un mécanisme de sécurité sideshiftRayon de braquage 1.650 mm;https://www.boels.be/assets/modules/products/chariot_elevateur_electrique_16_tonnes_big_1.jpg; + Chaussures de protection obligatoires + Transport en véhicule utilitaire + Boels Evolution;https@__www.boels.be_assets_modules_products_chariot_elevateur_electrique_16_tonnes_big_1.jpg;ELEKTRISCHE HEFTRUCK 1,6 TON;Door de geringe afmetingen ideaal voor uiteenlopende toepassingen zoals fabrieken magazijnen en winkels. Door de 3-wiels configuratie heeft deze heftruck maximale wendbaarheid. Ideaal voor laad- en loswerk in kleine ruimtes. Met deze trucks heeft u maximaal zicht op de vorkpunten.Uitgerust met sideshiftDraaicrikel 1.650 mm
CHARIOT ÉLÉVATEUR ÉLECTRIQUE 2,0 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-batterie/chariot-elevateur-electrique-20-tonnes;p.s.d.;p.s.d.;Compact et puissant. Avec ce nouveau chariot élévateur à 4 roues, plus besoin de choisir entre maniabilité et prestations. Ce chariot élévateur vous offre les deux. Avec ses puissants moteurs à courant alternatif de 48 volts, ce chariot élévateur électrique fournit des prestations exceptionnelles, qui vous permettent d’améliorer votre productivité. Outre ses excellentes prestations, ce modèle se caractérise par une conception compacte. Grâce à son châssis court et ses pneus plus petits, ce chariot élévateur est particulièrement maniable, même dans les espaces réduits.ONE CALL 070-22 28 18 (€ 0,15 p/min.);https://www.boels.be/assets/modules/products/chariot_elevateur_electrique_20_tonnes_big_1.jpg; + Chaussures de protection obligatoires + Transport en véhicule utilitaire;https@__www.boels.be_assets_modules_products_chariot_elevateur_electrique_20_tonnes_big_1.jpg;;
