nom;id;url;daily_price;weekly_price;description;title_nl;text_nl
CHARIOT TÇ?LESCOPIQUE 14 M 4 TONNES;13510.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-14-m-4-tonnes;p.s.d.;p.s.d.;Avec système d'indication de la charge contre la surchargeTraction sur 4 roues pour une utilisation sur terrain lourd et accidentéLivré standard plateau à fourches inclusStabilisateursDisponible avec moteur TIER4i / Stage 3BDiagramme de chargement affiché;VERREIKER 14 M 4 TON;Voorzien van load indicatie systeem tegen overbelasting4-wielaandrijving voor gebruik op ruw en oneffen terreinStandaard geleverd inclusief lepelbordAfstempelingVerkrijgbaar met TIER4i / Stage 3B motorLaaddiagram weergegeven
CHARIOT TÇ?LESCOPIQUE 14 M 4 TONNES;13776.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-14-m-4-tonnes-1;p.s.d.;p.s.d.;;VERREIKER 14 M 4 TON;
CHARIOT TÇ?LESCOPIQUE 17 M 4 TONNES;13522.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-17-m-4-tonnes;p.s.d.;p.s.d.;Avec système d'indication de la charge contre la surchargeTraction sur 4 roues pour une utilisation sur terrain lourd et accidentéLivré standard plateau à fourches inclus;VERREIKER 17 M 4 TON;Voorzien van load indicatie systeem tegen overbelasting4-wielaandrijving voor gebruik op ruw en oneffen terreinStandaard geleverd inclusief lepelbordAfstempelingVerkrijgbaar met TIER4i / 3B motor
CHARIOT TÇ?LESCOPIQUE 18 M 4 TONNES;13769.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-18-m-4-tonnes;p.s.d.;p.s.d.;Avec système d'indication de la charge contre la surchargeTraction sur 4 roues pour une utilisation sur terrain lourd et accidentéLivré standard plateau à fourches inclusStabilisateursAvec moteur TIER4f/ Stage 4;VERREIKER 18 M 4 TON;Voorzien van load indicatie systeem tegen overbelasting4-wielaandrijving voor gebruik op ruw en oneffen terreinStandaard geleverd inclusief lepelbordAfstempelingMet TIER4f / Stage 4 motor
CHARIOT TÇ?LESCOPIQUE 18 M 4 TONNES;13777.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-18-m-4-tonnes-1;p.s.d.;p.s.d.;;VERREIKER 18 M 4 TON;
CHARIOTS TÇ?LESCOPIQUES 12 T;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariots-telescopiques-12-t;p.s.d.;p.s.d.;Avec système d'indication de la charge contre la surchargeTraction sur 4 roues pour une utilisation sur terrain lourd et accidentéLivré standard plateau à fourches inclus;;
CHARIOT TÇ?LESCOPIQUE HIGH CAPACITY 22,5 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-high-capacity-225-tonnes;p.s.d.;p.s.d.;Avec système d'indication de la charge contre la surchargeTraction sur 4 roues pour une utilisation sur terrain lourd et accidentéLivré standard plateau à fourches inclus;;
CHARIOT TÇ?LESCOPIQUE ROTATIF, 26 M, 4 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-rotatif-26-m-4-tonnes;p.s.d.;p.s.d.;ONE CALL 070-22 28 18 ( 0,15 p/min.);;
CHARIOT TÇ?LESCOPIQUE ROTATIF, 30 M, 4 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-telescopiques/chariot-telescopique-rotatif-30-m-4-tonnes;p.s.d.;p.s.d.;ONE CALL 070-22 28 18 ( 0,15 p/min.);;
TÇ?LÇ?COMMANDE POUR CHARIOT TÇ?LESCOPIQUE ROTATIF;13860.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/telecommande-pour-chariot-telescopique-rotatif;p.s.d.;p.s.d.;Un chariot télescopique rotatif sÇ¯r et efficace, télécommandé à l'aide d'une télécommande radiographique. Le machiniste peut travailler sur place.;AFSTANDBEDIENING, TBV ROTERENDE VERREIKER;Veilig en efficient de roterende verreiker op afstand bedienen middels deze radiografische afstandsbediening. De machinist kan meewerken op locatie.
PLATEFORME, 1 TONNE, POUR CHARIOT TÇ?LESCOPIQUE ROTATIF;13565.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/plateforme-1-tonne-pour-chariot-telescopique-rotatif;p.s.d.;p.s.d.;Sécurité maximale au levage de personnes. Nacelle pour chariot télescopique.Pliable de 225 à 400 cm.Rotatif à 180°;PLATFORM, 1 TON, TBV ROTERENDE VERREIKER;Maximale veiligheid bij het werken op hoogte. Manbak voor verreiker.Uitklapbaar van 225 naar 400 cm180° roteerbaarToegelaten voor 3 personenOverbelastingssensor
TREUIL, 5 TONNES, HYDRAULIQUE, POUR CHARIOTS TÇ?LESCOPIQUES ROTATIFS;13772.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/treuil-5-tonnes-hydraulique-pour-chariots-telescopiques-rotatifs;p.s.d.;p.s.d.;Double treuil à câble pour une meilleure tractionCapteur fin de course supérieur et inférieurCrochet à goupille auto-verrouillant homologué;KOPLIER, 5 TON, HYDRAULISCH, TBV ROTERENDE VERREIKER;Dubbele kabellier voor een betere trekkrachtSensor voor einde gang bovenaan en onderaanGehomolgeerde zelfvergrendelende draaihaak
BRAS DE LEVAGE 2,5 MÇ?TRES, TREUIL 2 TONNES, POUR CHARIOT TÇ?LESCOPIQUE ROTATIF;13773.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/bras-de-levage-25-metres-treuil-2-tonnes-pour-chariot-telescopique-rotatif;p.s.d.;p.s.d.;Bras extensible avec treuil qui transforme la chariot télescopique en grue. Convient pour le transport et l'installation de poutres et de charpentes.Augmente la portée du chariot télescopiqueCrochet à goupille auto-verrouillant homologué;KRAANARM 2,5 METER, LIER 2 TON, TBV ROTERENDE VERREIKER;Uitschuifbare arm met lier die de verreiker transfereert in een kraan. Geschikt voor het transport en opstellen van balken en dakspanten.Verhoogt de reikwijdte van de verreikerGehomolgeerde zelfvergrendelende draaihaak
BRAS DE LEVAGE 6/2 TONNES;13774.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/bras-de-levage-62-tonnes;58,08;145,2;2 positions de crochetCrochet à goupille auto-verrouillant homologué;KRAANARM 6 / 2 TON;2 haakpositiesGehomologeerde zelfvergrendelende draaihaak
CROCHETS DE LEVAGE;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/crochets-de-levage;p.s.d.;p.s.d.;[13547] montage sur les fourches d'un chariot élévateur ou d'un chariot télescopique;;
GODETS DE TERRASSEMENT POUR CHARIOTS TÇ?LESCOPIQUES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/godets-de-terrassement-pour-chariots-telescopiques;20,57;51,43;Utilisable à différentes fins comme le transport de terre, de gravier, de plantes, etc. Parfait pour le traitement de céréales, de terre, de gravier.Convient pour matériaux avec une densité < 2.100 kg / m³;;
FOUCHES Ç? PALETTES POUR CHARIOT TÇ?LESCOPIQUE ROTATIF;13747.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-telescopiques/fouches-a-palettes-pour-chariot-telescopique-rotatif;31,46;78,65;Levage et déplacement des grandes palettes et de 2 europalettes en une manipulation. Levage et déplacement des grandes palettes et de 2 europalettes en une manipulation.Comprend tablier à fourches et fourches;PALLETVORKEN 1.800 MM, TBV ROTERENDE VERREIKER;Tillen en verplaatsen van overmaatse pallets en van 2 euro pallets in handeling. Tillen en verplaatsen van overmaatse pallets en van 2 euro pallets in 1 handeling.Bestaat uit vorkenbord en vorken
CHARIOT Ç?LÇ?VATEUR DIESEL 2,5 TONNES;12035.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-25-tonnes;p.s.d.;p.s.d.;Bourreau de travail universel pour toute tâche courante. Modèle avec moteur diesel, convient pour toutes sortes de chargements jusqu'à 2,5 tonnes. Le mât triplex est rétractable pour que les espaces bas soient aussi accessibles. Ainsi vous pouvez facilement rouler dans des conteneurs pour charger et décharger.Avec mât en triplexLargement assez de hauteur de levage libre pour dans les conteneurs;DIESELHEFTRUCK 2,5 TON;Universeel werkpaard voor elke gangbare klus. Uitgevoerd met een dieselmotor, geschikt voor alle soorten ladingen tot 2,5 ton. De triplex mast is inschuifbaar, zodat ook lage ruimtes toegankelijk zijn. Zo kunt u probleemloos in containers rijden om te laden en lossen.Voorzien van triplex mastRuim voldoende vrije hefhoogte voor in containers
CHARIOT Ç?LÇ?VATEUR 2,5 TONNES AVEC CABINE;13831.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-25-tonnes-avec-cabine;p.s.d.;p.s.d.;Avec cabine et chauffage;DIESELHEFTRUCK 2,5 TON MET CABINE;Met cabine en verwarming
CHARIOT Ç?LÇ?VATEUR DIESEL 3,0 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-30-tonnes;p.s.d.;p.s.d.;Bourreau de travail universel pour toute tâche courante. Modèle avec moteur diesel, convient pour toutes sortes de chargements jusqu'à 3 tonnes.ONE CALL 070-22 28 18 ( 0,15 p/min.);;
CHARIOT Ç?LÇ?VATEUR DIESEL 5 TONNES;13504.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-5-tonnes;p.s.d.;p.s.d.;Mât free visibilityAvec pneus gonflables;DIESELHEFTRUCK 5 TON;Free visibility mastVoorzien van luchtbanden
CHARIOT Ç?LÇ?VATEUR DIESEL 8 TONNES;12045.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-8-tonnes;p.s.d.;p.s.d.;Avec pneus gonflablesPosition assise confortable;DIESELHEFTRUCK 8 TON;Voorzien van luchtbandenComfortabele zitpositie
CHARIOT Ç?LÇ?VATEUR DIESEL 16 TONNES;13825.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-16-tonnes;p.s.d.;p.s.d.;Un poids lourd polyvalent, garantissant un poste de travail confortable pour le chauffeur. Convient pour les charges lourdes et encombrantes, qui peuvent passer et être positionnées grâce au sideshift intégral et au réglage des fourches.Avec 3e et 4e vanne et groupes de flexiblesDéplacement latéral intégral et réglage de la fourcheLieu de travail ergonomique pour le chauffeurAvec cabine chauffée;DIESELHEFTRUCK 16 TON;Allround krachtpatser die een comfortabele werkplek verzorgt voor de chauffeur. Geschikt voor zware en grote lasten welke zich door de integrale sideshift en vorkenversteller eenvoudig laten pakken en positioneren.Met 3e en 4e ventiel en slangengroepenIntegrale sideshift en vorkverstellerErgonomische werkplek voor de chauffeurVoorzien van verwarmde cabine
CHARIOT Ç?LÇ?VATEUR DIESEL 12 TONNES;13819.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-12-tonnes;p.s.d.;p.s.d.;Chariots élévateurs heavy duty, qui excellent dans les conditions les plus rudes, et qui constituent une base solide pour traiter des chargement à pleine capacité.Déplacement latéral intégral et réglage de la fourcheLieu de travail ergonomique pour le chauffeurBonne visibilité sur la chargeAvec cabine chauffée;DIESELHEFTRUCK 12 TON;Heavy duty heftruck die onder de moeilijkste omstandigheden excelleert en die een stabiele basis vormt voor het aannemen en verwerken van lading op volle capaciteit.Integrale sideshift en vorkverstellerErgonomische werkplek voor de chauffeurGoed zicht op de ladingVoorzien van verwarmde cabine
CHARIOT Ç?LÇ?VATEUR DIESEL 33 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-diesel/chariot-elevateur-diesel-33-tonnes;p.s.d.;p.s.d.;Déplacement latéral intégral et réglage de la fourcheAvec 3e et 4e vanne et groupes de flexiblesCabine complèteONE CALL 070-22 28 18 ( 0,15 p/min.);;
CHARIOT Ç?LÇ?VATEUR Ç?LECTRIQUE 1,6 TONNES;12036.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-batterie/chariot-elevateur-electrique-16-tonnes;p.s.d.;p.s.d.;Grâce à ses faibles dimensions idéal pour diverses applications comme dans des usines, entrepÇïts ou magasins. Grâce à sa configuration à 3 roues ce chariot élévateur est extrêmement maniable. Idéal pour les travaux de chargement et de déchargement dans les petits espaces. Avec ces gerbeurs, vous avez une visibilité maximale des pointes de fourche.équipé(e) d'un mécanisme de sécurité sideshiftRayon de braquage 1.650 mm;ELEKTRISCHE HEFTRUCK 1,6 TON;Door de geringe afmetingen ideaal voor uiteenlopende toepassingen zoals fabrieken magazijnen en winkels. Door de 3-wiels configuratie heeft deze heftruck maximale wendbaarheid. Ideaal voor laad- en loswerk in kleine ruimtes. Met deze trucks heeft u maximaal zicht op de vorkpunten.
CHARIOT Ç?LÇ?VATEUR Ç?LECTRIQUE 2,0 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-batterie/chariot-elevateur-electrique-20-tonnes;p.s.d.;p.s.d.;Compact et puissant. Avec ce nouveau chariot élévateur à 4 roues, plus besoin de choisir entre maniabilité et prestations. Ce chariot élévateur vous offre les deux. Avec ses puissants moteurs à courant alternatif de 48 volts, ce chariot élévateur électrique fournit des prestations exceptionnelles, qui vous permettent d'améliorer votre productivité. Outre ses excellentes prestations, ce modèle se caractérise par une conception compacte. Grâce à son châssis court et ses pneus plus petits, ce chariot élévateur est particulièrement maniable, même dans les espaces réduits.ONE CALL 070-22 28 18 ( 0,15 p/min.);;
CHARIOT Ç?LÇ?VATEUR Ç?LECTRIQUE 2,5 TONNES;13527.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-batterie/chariot-elevateur-electrique-25-tonnes;p.s.d.;p.s.d.;Une chariot élévateur sans émission pour un usage intérieur et extérieur sans perte de productivité. Le niveau de prestation de ce chariot élévateur est comparable à celui des chariots élévateurs à moteur thermique.équipé(e) d'un mécanisme de sécurité sideshift;ELEKTRISCHE HEFTRUCK 2,5 TON;Een emissievrije heftruck voor zowel binnen- als buiten gebruik zonder dat u hoeft in te boeten op productiviteit. Het prestatieniveau van deze heftruck is vergelijkbaar met vorkheftrucks met verbrandingsmotoren.Uitgerust met sideshift
CHARIOT Ç?LÇ?VATEUR Ç?LECTRIQUE 3,0 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-batterie/chariot-elevateur-electrique-30-tonnes;p.s.d.;p.s.d.;Ce chariot élévateur électrique avancé pour un usage intérieur ou extérieur fournit des prestations comparables à celles des chariots élévateurs à moteur diesel. Ce chariot élévateur peut être utilisé pour des applications très lourdes ou pour le traitement de plusieurs charges. Avec ce chariot élévateur vous disposez d'une alternative sans émission de CO2 sans perte de productivité.;;
CHARIOT Ç?LÇ?VATEUR Ç?LECTRIQUE 3,5 TONNES;13529.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-batterie/chariot-elevateur-electrique-35-tonnes;p.s.d.;p.s.d.;Ce chariot élévateur électrique avancé pour un usage intérieur ou extérieur fournit des prestations comparables à celles des chariots élévateurs à moteur diesel. Ce chariot élévateur peut être utilisé pour des applications très lourdes ou pour le traitement de plusieurs charges. Avec ce chariot élévateur vous disposez d'une alternative sans émission de CO2 sans perte de productivité.équipé(e) d'un mécanisme de sécurité sideshift;ELEKTRISCHE HEFTRUCK 3,5 TON;Deze geavanceerde elektrische heftruck voor zowel binnen- als buiten gebruik levert prestaties die gelijkwaardig zijn aan de dieselheftrucks. Deze heftruck kan worden ingezet bij zeer zware toepassingen of het behandelen van meerdere lasten. Met deze heftruck heeft u een emissievrij alternatief dat niet ten koste gaat van productiviteit.
CHARIOT Ç?LÇ?VATEUR Ç?LECTRIQUE 5 TONNES;12034.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-batterie/chariot-elevateur-electrique-5-tonnes;p.s.d.;p.s.d.;Ces chariots élévateurs lourds fournissent des prestations comparables à celles des chariots élévateurs à moteur thermique. Mais avec ce chariot élévateur vous disposez d'une alternative sans émission de CO2 qui ne nuit pas à la productivité.;ELEKTRISCHE HEFTRUCK 5 TON;Deze zware elektrische heftruck levert prestaties die vergelijkbaar zijn met een verbrandingsheftruck. Maar met deze heftruck heeft u een emissievrij alternatief dat niet ten koste gaat van de productiviteit.Zowel binnen als buiten inzetbaarUitgerust met sideshift
CHARIOTS Ç?LÇ?VATEURS Ç?LECTRIQUES 5 - 22 TONNES;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-batterie/chariots-elevateurs-electriques-5-22-tonnes;p.s.d.;p.s.d.;Utilisation intérieure-extérieureONE CALL 070-22 28 18 ( 0,15 p/min.);;
CHARIOT Ç?LÇ?VATEUR POUR TERRAINS SEMI-DIFFICILES 2,5 TONNES;12037.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-terrains-difficiles-diesel/chariot-elevateur-pour-terrains-semi-difficiles-25-tonnes;p.s.d.;p.s.d.;Polyvalent, très compact et puissant. Ce chariot élévateur lève, déplace et manoeuvre efficacement toute charge jusqu'à 2,5 tonnes sur un terrain accidenté.4 roues motrices;HEFTRUCK SEMI RUW TERREIN 2,5 TON;Veelzijdig, zeer compact en krachtig. Deze heftruck tilt, verplaatst en manoeuvreert efficiënt elke vracht tot 2,5 ton op zeer onregelmatig terrein.4-wielaandrijvingUitgevoerd met sideshiftFree lift mastVolledige cabine met rondom zichtUitgevoerd met multi-use banden
CHARIOT Ç?LÇ?VATEUR POUR TERRAINS DIFFICILES 3 TONNES;12062.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-terrains-difficiles-diesel/chariot-elevateur-pour-terrains-difficiles-3-tonnes-1;p.s.d.;p.s.d.;Charger, décharger et déplacer votre chargement sans problème sur un terrain inégal et difficile. Idéal pour le montage / démontage de matériel pour événements et pour le secteur du bâtiment.;HEFTRUCK RUW TERREIN 3 TON;Probleemloos laden, lossen en verplaatsen van uw vracht in ongelijk en ruw terrein. Ideaal voor opbouwen / afbouwen van evenementen en voor in de bouwsector.4-wielaandrijvingUitgevoerd met sideshiftFree visibility mastVolledige cabine met rondom zichtOptioneel verkrijgbaar met ruw terrein banden
CHARIOT Ç?LÇ?VATEUR POUR TERRAINS DIFFICILES 3 TONNES;12080.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-terrains-difficiles-diesel/chariot-elevateur-pour-terrains-difficiles-3-tonnes;p.s.d.;p.s.d.;Charger, décharger et déplacer votre chargement sans problème sur un terrain inégal et difficile. Idéal pour le montage / démontage de matériel pour événements et pour le secteur du bâtiment.4 roues motricesAvec déplacement latéralMât free visibilityCabine complète avec visibilité alentourPneus herbe disponibles en option;HEFTRUCK RUW TERREIN 3 TON;Probleemloos laden, lossen en verplaatsen van uw vracht in ongelijk en ruw terrein. Ideaal voor opbouwen / afbouwen van evenementen en voor in de bouwsector.4-wielaandrijvingUitgevoerd met sideshiftFree visibility mastVolledige cabine met rondom zichtOptioneel verkrijgbaar met grasbanden
CHARIOT Ç?LÇ?VATEUR POUR TERRAINS DIFFICILES 4 TONNES;12083.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-terrains-difficiles-diesel/chariot-elevateur-pour-terrains-difficiles-4-tonnes;p.s.d.;p.s.d.;Compact, maniable, sur, facile à conduire en toutes circonstances et convient pour presque tous les terrains. Ce chariot élévateur pour terrain difficile lève et déplace toutes vos charges lourdes.;HEFTRUCK RUW TERREIN 4 TON;Compact, wendbaar, veilig, goed bestuurbaar in alle omstandigheden en geschikt voor nagenoeg alle terreinen. Deze ruw terrein heftruck tilt en verplaatst al uw zware lasten.4-wielaandrijvingUitgevoerd met sideshiftFree lift mastVolledige cabine met rondom zichtAlleen verkijgbaar met industrie banden
CHARIOT Ç?LÇ?VATEUR POUR TERRAINS DIFFICILES 4 TONNES;13835.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-terrains-difficiles-diesel/chariot-elevateur-pour-terrains-difficiles-4-tonnes-1;p.s.d.;p.s.d.;;HEFTRUCK RUW TERREIN 4 TON;
CHARIOT Ç?LÇ?VATEUR POUR TERRAINS DIFFICILES 5 TONNES;12077.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-terrains-difficiles-diesel/chariot-elevateur-pour-terrains-difficiles-5-tonnes;p.s.d.;p.s.d.;Compact, maniable, sur, facile à conduire en toutes circonstances et convient pour presque tous les terrains. Ce chariot élévateur pour terrain difficile lève et déplace toutes vos charges lourdes.;HEFTRUCK RUW TERREIN 5 TON;Compact, wendbaar, veilig, goed bestuurbaar in alle omstandigheden en geschikt voor nagenoeg alle terreinen. Deze ruw terrein heftruck tilt en verplaatst al uw zware lasten.4-wielaandrijvingUitgevoerd met sideshiftFree lift mastVolledige cabine met rondom zichtAlleen verkrijgbaar met industrie banden
CHARIOT Ç?LÇ?VATEUR POUR TERRAINS DIFFICILES 5 TONNES;13836.0;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/chariots-elevateurs-terrains-difficiles-diesel/chariot-elevateur-pour-terrains-difficiles-5-tonnes-1;p.s.d.;p.s.d.;;HEFTRUCK RUW TERREIN 5 TON;
FOURCHES DE DÇ?PLACEMENT;;https://www.boels.be/fr/louer/chariots-telescopiques-chariots-elevateurs/accessoires-chariots-elevateurs/fourches-de-deplacement-1;31,46;78,65;Le recours à des rallonges permet une utilisation optimale du chariot élévateur. Comme les rallonges confèrent à votre chariot élévateur une plus grande surface portante, vous bénéficiez de davantage de possibilités, comme le déplacement de palettes surdimensionnées. Pour les diagrammes de charge, la rallonge maximale ne peut dépasser 50% des fourches existantes.Facile d'ajouter des rallonges aux fourches existantesIdéal pour des charges et palettes atypiques;;
